label,outcome,nobs,r_squared,adj_r_squared,aic,year_coef,year_p,weather_coef,weather_p,weather_ci_low,weather_ci_high,customers_coef,customers_p,cvi_term,cvi_coef,cvi_p,cvi_sig_05,weather_sig_05,ypos
Share > 24h + social-economic CVI,long_share_24h,47,0.049819668128339045,-0.040673696811819315,-224.0999666249706,0.00044353180821673203,0.6943654037539345,0.002246120126375914,0.6425304687134237,-0.007448995243099492,0.01194123549585132,-0.005607189130096895,0.24342616022889757,z_cvi_baseline_social_econ_mean,0.0001821842595259212,0.9534993571535696,False,False,0
Share > 8h + social-economic CVI,long_share_8h,47,0.25137847119987144,0.18008118274271623,-124.0115607395756,-0.0014701348117870882,0.6534593977485741,0.047531193249599375,0.0014401231191871543,0.01941368465692854,0.07564870184227021,-0.037516786333828614,0.009228001803547188,z_cvi_baseline_social_econ_mean,-0.010881326307327946,0.2337642884045902,False,True,1
Median duration + overall CVI,log_duration_median,47,0.25110941787560526,0.17978650529232953,-0.9309046644508783,-0.019066633984030107,0.12089010905091534,0.17264597641458657,0.0025258203488304517,0.06419745574965881,0.28109449707951434,-0.14601646089992285,0.008580457292897685,z_cvi_overall_mean,-0.026672806621171774,0.4488032623212928,False,True,2
Median duration + social-economic CVI,log_duration_median,47,0.24207574507572627,0.16989248270198587,-0.3673480838733383,-0.01943868670423623,0.11606950999011577,0.18345431108415056,0.0010117261524398426,0.07868546805788422,0.2882231541104169,-0.15679542858916132,0.0038319383525526286,z_cvi_baseline_social_econ_mean,-0.009312767624434972,0.7827651703725415,False,True,3
Median duration + climate CVI,log_duration_median,47,0.2407229284361495,0.16841082638244942,-0.28353270907723527,-0.019428571495918194,0.11991960966320331,0.18529584978564256,0.001796284839505556,0.0731334199469401,0.297458279624345,-0.15835991651721623,0.00854047475810111,z_cvi_climate_extreme_events_mean,0.0016895588849588535,0.9642639329539906,False,True,4
P90 duration + social-economic CVI,log_duration_p90,47,0.2833175078504644,0.21506203240765143,63.086850650970334,-0.0009663849560367366,0.9677950264256439,0.37115515285375494,0.0007413694056110281,0.16537649890544687,0.5769338068020631,-0.37311931756153704,0.0006041651257333707,z_cvi_baseline_social_econ_mean,0.017030810824647906,0.797386181396968,False,True,5
