county_fips,year,outage_event_uid,duration_hours,severe_weather_flag,outage_mean_customers,outage_max_customers
36005,2016,2016_68489,6.5,0,1232.8461538461538,1810.0
36005,2016,2016_68490,4.75,0,404.42105263157896,631.0
36005,2016,2016_68491,0.25,0,251.0,251.0
36005,2016,2016_68492,2.0,0,294.5,431.0
36005,2016,2016_68493,1.75,0,629.4285714285714,894.0
36005,2016,2016_68494,0.5,0,431.0,431.0
36005,2016,2016_68495,0.25,0,201.0,201.0
36005,2016,2016_68496,2.5,0,233.0,233.0
36005,2016,2016_68497,1.0,0,664.0,664.0
36005,2016,2016_68498,2.25,0,332.77777777777777,344.0
36005,2016,2016_68499,0.5,0,240.0,273.0
36005,2016,2016_68500,2.75,0,1225.4545454545455,1369.0
36005,2016,2016_68501,2.75,0,2240.818181818182,3282.0
36005,2016,2016_68502,0.75,0,287.6666666666667,323.0
36005,2016,2016_68503,3.5,0,256.85714285714283,296.0
36005,2016,2016_68504,1.25,0,215.4,216.0
36005,2016,2016_68505,6.75,0,439.77777777777777,900.0
36005,2016,2016_68506,4.0,0,1503.0625,3315.0
36005,2016,2016_68507,1.75,0,646.4285714285714,653.0
36005,2016,2016_68508,1.25,0,1309.0,1309.0
36005,2016,2016_68509,2.25,0,973.1111111111112,1219.0
36005,2016,2016_68510,2.0,0,283.875,285.0
36005,2016,2016_68511,1.75,0,375.1428571428572,415.0
36005,2016,2016_68512,1.0,0,1118.0,1118.0
36005,2016,2016_68513,0.25,0,309.0,309.0
36005,2016,2016_68514,0.25,0,309.0,309.0
36005,2016,2016_68515,9.5,0,242.8947368421053,310.0
36005,2016,2016_68516,1.25,0,877.0,877.0
36005,2016,2016_68517,2.25,0,330.44444444444446,331.0
36005,2016,2016_68518,2.5,0,2210.5,3050.0
36005,2016,2016_68519,2.5,0,377.9,417.0
36005,2016,2016_68520,0.75,0,1175.3333333333333,1176.0
36005,2016,2016_68521,2.25,0,760.0,1408.0
36005,2016,2016_68522,1.75,0,435.7142857142857,436.0
36005,2016,2016_68523,1.25,0,662.0,662.0
36005,2016,2016_68524,1.0,0,255.5,336.0
36005,2016,2016_68525,1.25,0,227.2,228.0
36005,2016,2016_68526,1.25,0,229.0,229.0
36005,2016,2016_68527,0.5,0,229.0,229.0
36005,2016,2016_68528,4.25,0,227.2941176470588,230.0
36005,2016,2016_68529,3.75,0,312.46666666666664,390.0
36005,2016,2016_68530,0.5,0,1692.5,1735.0
36005,2016,2016_68531,1.75,0,335.2857142857143,396.0
36005,2016,2016_68532,1.75,0,1587.7142857142858,1662.0
36005,2016,2016_68533,1.0,0,933.5,1146.0
36005,2016,2016_68534,1.0,0,1187.0,1187.0
36005,2016,2016_68535,1.25,0,208.8,210.0
36005,2016,2016_68536,0.25,0,595.0,595.0
36005,2016,2016_68537,2.0,0,526.125,674.0
36005,2016,2016_New York-1,0.75,0,1175.3333333333333,1176.0
36005,2016,2016_New York-4,6.5,0,1232.8461538461538,1810.0
36005,2016,2016_New York-5,1.0,0,255.5,336.0
36005,2017,2017_70253,2.75,0,673.0,1716.0
36005,2017,2017_70254,0.5,0,687.0,688.0
36005,2017,2017_70255,0.75,0,251.66666666666663,316.0
36005,2017,2017_70256,0.25,0,521.0,521.0
36005,2017,2017_70257,1.75,0,232.0,232.0
36005,2017,2017_70258,4.5,0,375.72222222222223,377.0
36005,2017,2017_70259,7.75,0,540.0967741935484,918.0
36005,2017,2017_70260,1.75,0,2348.5714285714284,2625.0
36005,2017,2017_70261,7.75,0,381.741935483871,433.0
36005,2017,2017_70262,1.5,0,333.1666666666667,334.0
36005,2017,2017_70263,0.5,0,819.0,819.0
36005,2017,2017_70264,0.75,0,813.0,813.0
36005,2017,2017_70265,0.25,0,260.0,260.0
36005,2017,2017_70266,1.5,0,591.0,634.0
36005,2017,2017_70267,0.25,0,363.0,363.0
36005,2017,2017_70268,2.25,0,261.6666666666667,262.0
36005,2017,2017_70269,3.5,0,479.92857142857144,1317.0
36005,2017,2017_70270,1.5,0,246.0,250.0
36005,2017,2017_70271,2.75,0,319.72727272727275,320.0
36005,2017,2017_70272,0.75,0,240.66666666666663,254.0
36005,2017,2017_70273,2.0,0,790.875,1001.0
36005,2017,2017_70274,1.5,0,407.6666666666667,434.0
36005,2017,2017_70275,0.75,0,533.0,533.0
36005,2017,2017_70276,2.5,0,264.0,264.0
36005,2017,2017_70277,1.5,0,434.3333333333333,435.0
36005,2017,2017_70278,3.25,0,377.0769230769231,378.0
36005,2017,2017_70279,2.25,0,448.44444444444446,527.0
36005,2017,2017_70280,1.25,0,435.0,435.0
36005,2017,2017_70281,2.5,0,223.3,226.0
36005,2017,2017_70282,0.25,0,221.0,221.0
36005,2017,2017_70283,0.25,0,251.0,251.0
36005,2017,2017_70284,4.0,0,299.625,348.0
