county_fips,year,month,outage_occurrence,outage_duration_mean,severe_weather_count,severe_weather_share,outage_mean_customers_mean,outage_max_customers_mean,county_name,year_centered,days_in_month,log_days,log_outage_occurrence,log_outage_duration_mean,log_outage_mean_customers
36005,2014,1,0.0,,0.0,0.0,,,Bronx,-4.5,31,3.4339872044851463,0.0,,
36005,2014,2,0.0,,0.0,0.0,,,Bronx,-4.5,28,3.332204510175204,0.0,,
36005,2014,3,0.0,,0.0,0.0,,,Bronx,-4.5,31,3.4339872044851463,0.0,,
36005,2014,4,0.0,,0.0,0.0,,,Bronx,-4.5,30,3.4011973816621555,0.0,,
36005,2014,5,0.0,,0.0,0.0,,,Bronx,-4.5,31,3.4339872044851463,0.0,,
36005,2014,6,0.0,,0.0,0.0,,,Bronx,-4.5,30,3.4011973816621555,0.0,,
36005,2014,7,0.0,,0.0,0.0,,,Bronx,-4.5,31,3.4339872044851463,0.0,,
36005,2014,8,0.0,,0.0,0.0,,,Bronx,-4.5,31,3.4339872044851463,0.0,,
36005,2014,9,0.0,,0.0,0.0,,,Bronx,-4.5,30,3.4011973816621555,0.0,,
36005,2014,10,0.0,,0.0,0.0,,,Bronx,-4.5,31,3.4339872044851463,0.0,,
36005,2014,11,3.0,0.8333333333333334,0.0,0.0,456.1111111111111,568.3333333333334,Bronx,-4.5,30,3.4011973816621555,1.3862943611198906,0.6061358035703156,6.124926492876683
36005,2014,12,3.0,1.4166666666666667,0.0,0.0,365.4285714285714,368.3333333333333,Bronx,-4.5,31,3.4339872044851463,1.3862943611198906,0.8823891801984738,5.903803608549556
36005,2015,1,3.0,2.4166666666666665,0.0,0.0,240.09743589743587,249.66666666666666,Bronx,-3.5,31,3.4339872044851463,1.3862943611198906,1.2286654169163074,5.485201150113717
36005,2015,2,8.0,1.59375,0.0,0.0,379.47081105169343,429.875,Bronx,-3.5,28,3.332204510175204,2.1972245773362196,0.9531047049968714,5.941409462274312
36005,2015,3,8.0,2.3125,0.0,0.0,348.98640046296293,431.25,Bronx,-3.5,31,3.4339872044851463,2.1972245773362196,1.1977031913123406,5.857894297908446
36005,2015,4,2.0,2.875,0.0,0.0,652.1911764705883,751.5,Bronx,-3.5,30,3.4011973816621555,1.0986122886681098,1.3545456628053103,6.481869852846146
36005,2015,5,8.0,1.625,0.0,0.0,1735.7222222222222,1738.5,Bronx,-3.5,31,3.4339872044851463,2.1972245773362196,0.965080896043587,7.459754835330917
36005,2015,6,7.0,1.7142857142857142,0.0,0.0,332.2125850340136,342.85714285714283,Bronx,-3.5,30,3.4011973816621555,2.0794415416798357,0.9985288301111271,5.808780679789536
36005,2015,7,20.0,1.525,0.0,0.0,645.7139851814852,723.35,Bronx,-3.5,31,3.4339872044851463,3.044522437723423,0.9262410627273231,6.471904133673314
36005,2015,8,4.0,0.625,0.0,0.0,535.3125,535.5,Bronx,-3.5,31,3.4339872044851463,1.6094379124341003,0.4855078157817008,6.28471701356734
36005,2015,9,2.0,1.125,0.0,0.0,700.4166666666667,900.0,Bronx,-3.5,30,3.4011973816621555,1.0986122886681098,0.7537718023763802,6.553102099423576
36005,2015,10,4.0,1.25,0.0,0.0,395.71875,475.0,Bronx,-3.5,31,3.4339872044851463,1.6094379124341003,0.8109302162163288,5.983227591339053
36005,2015,11,0.0,,0.0,0.0,,,Bronx,-3.5,30,3.4011973816621555,0.0,,
36005,2015,12,3.0,1.25,0.0,0.0,599.3174603174604,607.3333333333334,Bronx,-3.5,31,3.4339872044851463,1.3862943611198906,0.8109302162163288,6.3974586158209155
36005,2016,1,7.0,2.8214285714285716,0.0,0.0,458.5477293620151,518.8571428571429,Bronx,-2.5,31,3.4339872044851463,2.0794415416798357,1.3406243242867022,6.13024280878879
36005,2016,2,8.0,2.6875,0.0,0.0,547.897686990429,690.375,Bronx,-2.5,29,3.367295829986474,2.1972245773362196,1.3049487216659381,6.307912061647218
36005,2016,3,5.0,1.35,0.0,0.0,673.4851648351648,751.8,Bronx,-2.5,31,3.4339872044851463,1.791759469228055,0.8544153281560676,6.513949681091869
36005,2016,4,2.0,1.875,0.0,0.0,694.7222222222222,731.5,Bronx,-2.5,30,3.4011973816621555,1.0986122886681098,1.0560526742493137,6.544950474667868
36005,2016,5,2.0,2.5,0.0,0.0,453.20000000000005,506.0,Bronx,-2.5,31,3.4339872044851463,1.0986122886681098,1.252762968495368,6.118537629671458
36005,2016,6,9.0,2.7777777777777777,0.0,0.0,545.5602146391619,743.5555555555555,Bronx,-2.5,30,3.4011973816621555,2.302585092994046,1.329135947279942,6.303644483869313
36005,2016,7,16.0,2.21875,0.0,0.0,756.9607582521645,998.8125,Bronx,-2.5,31,3.4339872044851463,2.833213344056216,1.1689930854299093,6.630631614186375
36005,2016,8,12.0,2.1041666666666665,0.0,0.0,738.7600111389585,871.75,Bronx,-2.5,31,3.4339872044851463,2.5649493574615367,1.1327452950375683,6.606325824326913
36005,2016,9,8.0,1.6875,0.0,0.0,428.5575980392157,464.125,Bronx,-2.5,30,3.4011973816621555,2.1972245773362196,0.9886113934537812,6.062755837297354
36005,2016,10,5.0,1.35,0.0,0.0,850.46,920.2,Bronx,-2.5,31,3.4339872044851463,1.791759469228055,0.8544153281560676,6.746952523074501
36005,2016,11,2.0,1.125,0.0,0.0,560.5625,634.5,Bronx,-2.5,30,3.4011973816621555,1.0986122886681098,0.7537718023763802,6.330723076977878
36005,2016,12,0.0,,0.0,0.0,,,Bronx,-2.5,31,3.4339872044851463,0.0,,
36005,2017,1,5.0,1.2,0.0,0.0,472.9333333333333,694.6,Bronx,-1.5,31,3.4339872044851463,1.791759469228055,0.7884573603642702,6.161066664827273
36005,2017,2,3.0,4.666666666666667,0.0,0.0,1088.1301416623999,1306.6666666666667,Bronx,-1.5,28,3.332204510175204,1.3862943611198906,1.7346010553881064,6.993134621451498
36005,2017,3,8.0,1.84375,0.0,0.0,477.82190860215053,489.75,Bronx,-1.5,31,3.4339872044851463,2.1972245773362196,1.0451236037171234,6.1713287299514175
36005,2017,4,5.0,2.1,0.0,0.0,415.43950216450213,628.4,Bronx,-1.5,30,3.4011973816621555,1.791759469228055,1.1314021114911006,6.031741198150315
36005,2017,5,7.0,1.8571428571428572,0.0,0.0,414.21733821733824,429.42857142857144,Bronx,-1.5,31,3.4339872044851463,2.0794415416798357,1.0498221244986776,6.028802089692087
36005,2017,6,10.0,1.95,0.0,0.0,962.2983333333334,1195.3,Bronx,-1.5,30,3.4011973816621555,2.3978952727983707,1.0818051703517284,6.870363159598408
36005,2017,7,5.0,2.1,0.0,0.0,400.17928571428575,434.0,Bronx,-1.5,31,3.4339872044851463,1.791759469228055,1.1314021114911006,5.994408423933043
36005,2017,8,4.0,2.5,0.0,0.0,488.0785714285714,717.0,Bronx,-1.5,31,3.4339872044851463,1.6094379124341003,1.252762968495368,6.192523154335622
36005,2017,9,3.0,2.5,0.0,0.0,367.5555555555555,375.0,Bronx,-1.5,30,3.4011973816621555,1.3862943611198906,1.252762968495368,5.909591461610833
36005,2017,10,4.0,2.125,0.0,0.0,593.2700320512821,638.75,Bronx,-1.5,31,3.4339872044851463,1.6094379124341003,1.1394342831883648,6.38733381547657
