county_name,cvi_overall_mean,cvi_overall_p75,cvi_baseline_social_econ_mean,cvi_climate_all_mean,cvi_climate_extreme_events_mean,high_cvi_share
Bronx,0.551359385291833,0.576604274136284,0.7607055170682526,0.43585838447996034,0.37043436032481325,0.7433628318584071
Brooklyn,0.5076602318928857,0.530861117550339,0.5859957100040735,0.4706883343823766,0.38631741407448117,0.25229960578186594
Manhattan,0.446013671579636,0.4859475330910725,0.46239764506327696,0.45105250662787566,0.42601836244896674,0.09027777777777778
Queens,0.48349489981555227,0.505534734693562,0.5750860820260865,0.4558175748462379,0.36168008008874525,0.07772795216741404
Staten Island,0.49371342025667836,0.5128836787972979,0.4853958153570898,0.5211247535929626,0.5373884004741083,0.18018018018018017
