county_fips,year,outage_occurrence,outage_duration_mean,severe_weather_count,severe_weather_share,outage_mean_customers_mean,outage_max_customers_mean
36005,2014,6,1.125,0,0.0,410.76984126984127,468.3333333333333
36005,2015,69,1.6597222222222223,0,0.0,625.1088700511393,681.5972222222222
36005,2016,76,2.067073170731707,0,0.0,585.6602466426098,713.1056910569106
36005,2017,64,2.2421875,0,0.0,578.8290965522657,692.734375
36005,2018,105,4.246710526315789,46443,0.4506578947368421,2189.097198095973,2632.8848684210525
36005,2019,78,2.517699115044248,12882,0.336283185840708,580.0619606382289,751.5575221238938
36005,2020,105,9.5875,3729,0.09166666666666666,992.8199519903478,1545.7
36005,2021,106,4.139908256880734,0,0.0,446.163406284365,524.7798165137615
36005,2022,155,2.1566820276497696,20679,0.28110599078341014,537.8654886621124,591.2626728110599
36005,2023,101,1.9225663716814159,1017,0.02654867256637168,710.138794097632,766.8938053097345
36047,2014,7,1.0714285714285714,0,0.0,607.6678571428571,627.4285714285714
36047,2015,142,5.8270547945205475,0,0.0,537.2961087069775,756.6164383561644
36047,2016,106,3.422514619883041,0,0.0,737.1006807924083,844.2690058479532
36047,2017,92,5.723118279569892,0,0.0,383.25815043465565,477.5268817204301
36047,2018,107,3.295698924731183,63924,0.3010752688172043,405.08202705429807,453.4874551971326
36047,2019,122,5.624113475177305,12937,0.12056737588652482,684.1298291410617,1116.9716312056737
36047,2020,89,12.831683168316832,7610,0.09900990099009901,533.9152509348759,1465.118811881188
36047,2021,126,5.374074074074074,0,0.0,465.7865921930661,546.2
36047,2022,190,2.7140151515151514,44899,0.22348484848484848,358.7492312963378,414.3030303030303
36047,2023,59,3.745833333333333,0,0.0,347.03924569951215,422.0833333333333
36061,2015,71,4.654605263157895,0,0.0,360.96155488891833,406.5394736842105
36061,2016,30,4.908333333333333,0,0.0,383.0021288743593,423.3
36061,2017,29,3.8017241379310347,0,0.0,255.435800685096,296.17241379310343
36061,2019,3,4.916666666666667,0,0.0,236.09717868338558,247.33333333333334
36061,2020,21,2.668032786885246,13248,0.7540983606557377,7860.538554512427,54242.54098360656
36061,2021,42,4.659574468085107,0,0.0,373.86923353521956,435.1489361702128
36061,2022,44,1.6712328767123288,7776,0.3698630136986301,1052.8805378156064,1063.86301369863
36061,2023,22,2.5217391304347827,0,0.0,313.7778305983259,330.17391304347825
36081,2014,14,2.3035714285714284,0,0.0,608.5700466979245,757.9285714285714
36081,2015,172,3.007183908045977,0,0.0,434.96695181116075,533.2816091954023
36081,2016,140,2.615625,0,0.0,667.9580501642528,868.56875
36081,2017,175,2.223463687150838,1338,0.0111731843575419,626.694608680423,765.7262569832402
36081,2018,216,3.5907794676806084,105033,0.2984790874524715,1699.4812126817515,2066.1425855513307
36081,2019,188,3.441983122362869,27429,0.1729957805907173,606.2257057058742,989.2278481012659
36081,2020,179,4.744845360824742,4014,0.030927835051546393,579.985199172048,923.6288659793814
36081,2021,218,3.4534632034632033,0,0.0,529.6359960273193,692.5930735930735
36081,2022,305,1.7119565217391304,43485,0.1570048309178744,428.12553689124366,512.7512077294685
36081,2023,179,1.8544973544973544,2007,0.015873015873015872,511.9669177785588,600.2804232804233
36085,2014,4,1.25,0,0.0,983.1458333333334,987.25
36085,2015,62,1.8064516129032258,0,0.0,893.0465370188373,1275.8387096774193
36085,2016,73,1.0537974683544304,0,0.0,644.3474690236849,784.9240506329114
36085,2017,58,1.2629310344827587,222,0.034482758620689655,855.997664032203,976.5
36085,2019,13,1.25,0,0.0,847.1487244897959,998.9285714285714
36085,2020,69,16.22289156626506,1332,0.14457831325301204,1806.1464858388138,5052.698795180723
36085,2021,101,1.338095238095238,444,0.0380952380952381,760.7918638515481,966.6952380952381
36085,2022,113,1.1710526315789473,444,0.03007518796992481,876.0322756750189,1156.218045112782
36085,2023,72,1.1917808219178083,0,0.0,625.6446262248974,751.931506849315
