county_fips,year,month,outage_occurrence,outage_duration_mean,severe_weather_count,severe_weather_share,outage_mean_customers_mean,outage_max_customers_mean,county_name,year_centered,days_in_month,log_days,log_outage_occurrence,log_outage_duration_mean,log_outage_mean_customers,cvi_overall_mean,cvi_overall_p75,cvi_baseline_social_econ_mean,cvi_climate_all_mean,cvi_climate_extreme_events_mean,high_cvi_share,z_severe_weather_count,z_severe_weather_share,z_log_outage_mean_customers,z_cvi_overall_mean,z_cvi_overall_p75,z_cvi_baseline_social_econ_mean,z_cvi_climate_all_mean,z_cvi_climate_extreme_events_mean,z_high_cvi_share
36005,2014,1,0.0,,0.0,0.0,,,Bronx,-4.5,31,3.4339872044851463,0.0,,,0.551359385291833,0.576604274136284,0.7607055170682526,0.43585838447996034,0.37043436032481325,0.7433628318584071,-0.2427547696339211,-0.23274215893219724,,1.6039889186576557,1.7665195063763832,1.7759722805033276,-1.059752824720207,-0.7131482916488626,1.9320061958838068
36005,2014,2,0.0,,0.0,0.0,,,Bronx,-4.5,28,3.332204510175204,0.0,,,0.551359385291833,0.576604274136284,0.7607055170682526,0.43585838447996034,0.37043436032481325,0.7433628318584071,-0.2427547696339211,-0.23274215893219724,,1.6039889186576557,1.7665195063763832,1.7759722805033276,-1.059752824720207,-0.7131482916488626,1.9320061958838068
36005,2014,3,0.0,,0.0,0.0,,,Bronx,-4.5,31,3.4339872044851463,0.0,,,0.551359385291833,0.576604274136284,0.7607055170682526,0.43585838447996034,0.37043436032481325,0.7433628318584071,-0.2427547696339211,-0.23274215893219724,,1.6039889186576557,1.7665195063763832,1.7759722805033276,-1.059752824720207,-0.7131482916488626,1.9320061958838068
36005,2014,4,0.0,,0.0,0.0,,,Bronx,-4.5,30,3.4011973816621555,0.0,,,0.551359385291833,0.576604274136284,0.7607055170682526,0.43585838447996034,0.37043436032481325,0.7433628318584071,-0.2427547696339211,-0.23274215893219724,,1.6039889186576557,1.7665195063763832,1.7759722805033276,-1.059752824720207,-0.7131482916488626,1.9320061958838068
36005,2014,5,0.0,,0.0,0.0,,,Bronx,-4.5,31,3.4339872044851463,0.0,,,0.551359385291833,0.576604274136284,0.7607055170682526,0.43585838447996034,0.37043436032481325,0.7433628318584071,-0.2427547696339211,-0.23274215893219724,,1.6039889186576557,1.7665195063763832,1.7759722805033276,-1.059752824720207,-0.7131482916488626,1.9320061958838068
36005,2014,6,0.0,,0.0,0.0,,,Bronx,-4.5,30,3.4011973816621555,0.0,,,0.551359385291833,0.576604274136284,0.7607055170682526,0.43585838447996034,0.37043436032481325,0.7433628318584071,-0.2427547696339211,-0.23274215893219724,,1.6039889186576557,1.7665195063763832,1.7759722805033276,-1.059752824720207,-0.7131482916488626,1.9320061958838068
36005,2014,7,0.0,,0.0,0.0,,,Bronx,-4.5,31,3.4339872044851463,0.0,,,0.551359385291833,0.576604274136284,0.7607055170682526,0.43585838447996034,0.37043436032481325,0.7433628318584071,-0.2427547696339211,-0.23274215893219724,,1.6039889186576557,1.7665195063763832,1.7759722805033276,-1.059752824720207,-0.7131482916488626,1.9320061958838068
36005,2014,8,0.0,,0.0,0.0,,,Bronx,-4.5,31,3.4339872044851463,0.0,,,0.551359385291833,0.576604274136284,0.7607055170682526,0.43585838447996034,0.37043436032481325,0.7433628318584071,-0.2427547696339211,-0.23274215893219724,,1.6039889186576557,1.7665195063763832,1.7759722805033276,-1.059752824720207,-0.7131482916488626,1.9320061958838068
36005,2014,9,0.0,,0.0,0.0,,,Bronx,-4.5,30,3.4011973816621555,0.0,,,0.551359385291833,0.576604274136284,0.7607055170682526,0.43585838447996034,0.37043436032481325,0.7433628318584071,-0.2427547696339211,-0.23274215893219724,,1.6039889186576557,1.7665195063763832,1.7759722805033276,-1.059752824720207,-0.7131482916488626,1.9320061958838068
36005,2014,10,0.0,,0.0,0.0,,,Bronx,-4.5,31,3.4339872044851463,0.0,,,0.551359385291833,0.576604274136284,0.7607055170682526,0.43585838447996034,0.37043436032481325,0.7433628318584071,-0.2427547696339211,-0.23274215893219724,,1.6039889186576557,1.7665195063763832,1.7759722805033276,-1.059752824720207,-0.7131482916488626,1.9320061958838068
36005,2014,11,3.0,0.8333333333333334,0.0,0.0,456.1111111111111,568.3333333333334,Bronx,-4.5,30,3.4011973816621555,1.3862943611198906,0.6061358035703156,6.124926492876683,0.551359385291833,0.576604274136284,0.7607055170682526,0.43585838447996034,0.37043436032481325,0.7433628318584071,-0.2427547696339211,-0.23274215893219724,-0.28441450061585044,1.6039889186576557,1.7665195063763832,1.7759722805033276,-1.059752824720207,-0.7131482916488626,1.9320061958838068
36005,2014,12,3.0,1.4166666666666667,0.0,0.0,365.4285714285714,368.3333333333333,Bronx,-4.5,31,3.4339872044851463,1.3862943611198906,0.8823891801984738,5.903803608549556,0.551359385291833,0.576604274136284,0.7607055170682526,0.43585838447996034,0.37043436032481325,0.7433628318584071,-0.2427547696339211,-0.23274215893219724,-0.7354328662938913,1.6039889186576557,1.7665195063763832,1.7759722805033276,-1.059752824720207,-0.7131482916488626,1.9320061958838068
36005,2015,1,3.0,2.4166666666666665,0.0,0.0,240.09743589743587,249.66666666666666,Bronx,-3.5,31,3.4339872044851463,1.3862943611198906,1.2286654169163074,5.485201150113717,0.551359385291833,0.576604274136284,0.7607055170682526,0.43585838447996034,0.37043436032481325,0.7433628318584071,-0.2427547696339211,-0.23274215893219724,-1.5892449773607755,1.6039889186576557,1.7665195063763832,1.7759722805033276,-1.059752824720207,-0.7131482916488626,1.9320061958838068
36005,2015,2,8.0,1.59375,0.0,0.0,379.47081105169343,429.875,Bronx,-3.5,28,3.332204510175204,2.1972245773362196,0.9531047049968714,5.941409462274312,0.551359385291833,0.576604274136284,0.7607055170682526,0.43585838447996034,0.37043436032481325,0.7433628318584071,-0.2427547696339211,-0.23274215893219724,-0.6587292237085536,1.6039889186576557,1.7665195063763832,1.7759722805033276,-1.059752824720207,-0.7131482916488626,1.9320061958838068
36005,2015,3,8.0,2.3125,0.0,0.0,348.98640046296293,431.25,Bronx,-3.5,31,3.4339872044851463,2.1972245773362196,1.1977031913123406,5.857894297908446,0.551359385291833,0.576604274136284,0.7607055170682526,0.43585838447996034,0.37043436032481325,0.7433628318584071,-0.2427547696339211,-0.23274215893219724,-0.8290728453388773,1.6039889186576557,1.7665195063763832,1.7759722805033276,-1.059752824720207,-0.7131482916488626,1.9320061958838068
36005,2015,4,2.0,2.875,0.0,0.0,652.1911764705883,751.5,Bronx,-3.5,30,3.4011973816621555,1.0986122886681098,1.3545456628053103,6.481869852846146,0.551359385291833,0.576604274136284,0.7607055170682526,0.43585838447996034,0.37043436032481325,0.7433628318584071,-0.2427547696339211,-0.23274215893219724,0.4436332152184469,1.6039889186576557,1.7665195063763832,1.7759722805033276,-1.059752824720207,-0.7131482916488626,1.9320061958838068
36005,2015,5,8.0,1.625,0.0,0.0,1735.7222222222222,1738.5,Bronx,-3.5,31,3.4339872044851463,2.1972245773362196,0.965080896043587,7.459754835330917,0.551359385291833,0.576604274136284,0.7607055170682526,0.43585838447996034,0.37043436032481325,0.7433628318584071,-0.2427547696339211,-0.23274215893219724,2.4381987617174943,1.6039889186576557,1.7665195063763832,1.7759722805033276,-1.059752824720207,-0.7131482916488626,1.9320061958838068
