model,term,coef,p_value
count_ols_basic,year_centered,0.1556363468415537,0.01479581229914035
count_ols_basic,z_severe_weather_count,0.35055245809175084,0.0537175544049031
count_ols_basic,z_cvi_overall_mean,0.42579806390703806,0.019173507672325694
count_ols_extended,year_centered,0.16512452223591487,0.0039026576793318507
count_ols_extended,z_severe_weather_count,0.15074585555532538,0.3668567644360348
count_ols_extended,z_cvi_baseline_social_econ_mean,2.5411507574175967,0.00025624926878694865
count_ols_extended,z_cvi_climate_extreme_events_mean,0.5358038882331623,0.07071775751512613
count_ols_extended,z_high_cvi_share,-1.9418891835271013,0.0006605080024149593
duration_ols_extended,year_centered,0.019836584386376435,0.4545272412832702
duration_ols_extended,z_severe_weather_share,-0.04176551947246468,0.7025565964046832
duration_ols_extended,z_cvi_baseline_social_econ_mean,-0.1179586807889525,0.21143304078960087
duration_ols_extended,z_cvi_climate_extreme_events_mean,-0.22341152967686906,0.03867977315604292
duration_ols_extended,z_log_outage_mean_customers,0.06548606447581248,0.559284572073844
