county_fips,year,outage_occurrence,outage_duration_mean,severe_weather_count,severe_weather_share,outage_mean_customers_mean,outage_max_customers_mean,county_name,year_centered,log_outage_occurrence,log_outage_duration_mean,log_outage_mean_customers
36005,2014,6.0,1.125,0.0,0.0,410.76984126984127,468.3333333333333,Bronx,-4.5,1.9459101490553132,0.7537718023763802,6.020464555558792
36005,2015,69.0,1.6597222222222223,0.0,0.0,625.1088700511393,681.5972222222222,Bronx,-3.5,4.248495242049359,0.9782216896046454,6.439524269798555
36005,2016,76.0,2.067073170731707,0.0,0.0,585.6602466426098,713.1056910569106,Bronx,-2.5,4.343805421853684,1.1207237422755407,6.374445856081386
36005,2017,64.0,2.2421875,0.0,0.0,578.8290965522657,692.734375,Bronx,-1.5,4.174387269895637,1.1762482563110812,6.362733399002565
36005,2018,105.0,4.246710526315789,46443.0,0.4506578947368421,2189.097198095973,2632.8848684210525,Bronx,-0.5,4.663439094112067,1.6576013138127232,7.691701204517889
36005,2019,78.0,2.517699115044248,12882.0,0.336283185840708,580.0619606382289,751.5575221238938,Bronx,0.5,4.3694478524670215,1.257807115382046,6.364857395981986
36005,2020,105.0,9.5875,3729.0,0.09166666666666666,992.8199519903478,1545.7,Bronx,1.5,4.663439094112067,2.3596740599781727,6.901556055431118
36005,2021,106.0,4.139908256880734,0.0,0.0,446.163406284365,524.7798165137615,Bronx,2.5,4.672828834461906,1.6370352304518927,6.102924089969419
36005,2022,155.0,2.1566820276497696,20679.0,0.28110599078341014,537.8654886621124,591.2626728110599,Bronx,3.5,5.049856007249537,1.1495214847217656,6.289465982551264
36005,2023,101.0,1.9225663716814159,1017.0,0.02654867256637168,710.138794097632,766.8938053097345,Bronx,4.5,4.624972813284271,1.072462124690094,6.566867620453617
36047,2014,7.0,1.0714285714285714,0.0,0.0,607.6678571428571,627.4285714285714,Brooklyn,-4.5,2.0794415416798357,0.7282385003712154,6.411272728360341
36047,2015,142.0,5.8270547945205475,0.0,0.0,537.2961087069775,756.6164383561644,Brooklyn,-3.5,4.962844630259907,1.9208933645531279,6.288408796685085
36047,2016,106.0,3.422514619883041,0.0,0.0,737.1006807924083,844.2690058479532,Brooklyn,-2.5,4.672828834461906,1.4867084528423913,6.6040802391335385
36047,2017,92.0,5.723118279569892,0.0,0.0,383.25815043465565,477.5268817204301,Brooklyn,-1.5,4.532599493153256,1.9055520766044725,5.951314593474571
36047,2018,107.0,3.295698924731183,63924.0,0.3010752688172043,405.08202705429807,453.4874551971326,Brooklyn,-0.5,4.68213122712422,1.4576142720530734,6.006555176274542
36047,2019,122.0,5.624113475177305,12937.0,0.12056737588652482,684.1298291410617,1116.9716312056737,Brooklyn,0.5,4.812184355372417,1.8907165478506744,6.529608351896173
36047,2020,89.0,12.831683168316832,7610.0,0.09900990099009901,533.9152509348759,1465.118811881188,Brooklyn,1.5,4.499809670330265,2.6269618424157026,6.2821083248803795
36047,2021,126.0,5.374074074074074,0.0,0.0,465.7865921930661,546.2,Brooklyn,2.5,4.844187086458591,1.8522388372131646,6.145872177191552
36047,2022,190.0,2.7140151515151514,44899.0,0.22348484848484848,358.7492312963378,414.3030303030303,Brooklyn,3.5,5.25227342804663,1.3121135424900847,5.885407208993374
36047,2023,59.0,3.745833333333333,0.0,0.0,347.03924569951215,422.0833333333333,Brooklyn,4.5,4.0943445622221,1.557267040105191,5.852315248414451
36061,2014,0.0,,0.0,0.0,,,Manhattan,-4.5,0.0,,
36061,2015,71.0,4.654605263157895,0.0,0.0,360.96155488891833,406.5394736842105,Manhattan,-3.5,4.276666119016055,1.7324703039766276,5.891538004221629
36061,2016,30.0,4.908333333333333,0.0,0.0,383.0021288743593,423.3,Manhattan,-2.5,3.4339872044851463,1.7763637837500814,5.950648096516003
36061,2017,29.0,3.8017241379310347,0.0,0.0,255.435800685096,296.17241379310343,Manhattan,-1.5,3.4011973816621555,1.5689750488209193,5.5468783435564015
36061,2018,0.0,,0.0,0.0,,,Manhattan,-0.5,0.0,,
36061,2019,3.0,4.916666666666667,0.0,0.0,236.09717868338558,247.33333333333334,Manhattan,0.5,1.3862943611198906,1.777773227253315,5.468470093731839
36061,2020,21.0,2.668032786885246,13248.0,0.7540983606557377,7860.538554512427,54242.54098360656,Manhattan,1.5,3.091042453358316,1.2996554929816535,8.969737611116638
36061,2021,42.0,4.659574468085107,0.0,0.0,373.86923353521956,435.1489361702128,Manhattan,2.5,3.7612001156935624,1.7333487070716405,5.926577254583993
36061,2022,44.0,1.6712328767123288,7776.0,0.3698630136986301,1052.8805378156064,1063.86301369863,Manhattan,3.5,3.8066624897703196,0.9825401174153556,6.960234380946725
36061,2023,22.0,2.5217391304347827,0.0,0.0,313.7778305983259,330.17391304347825,Manhattan,4.5,3.1354942159291497,1.258954938743289,5.751867090296942
36081,2014,14.0,2.3035714285714284,0.0,0.0,608.5700466979245,757.9285714285714,Queens,-4.5,2.70805020110221,1.1950041343431754,6.412753867171006
36081,2015,172.0,3.007183908045977,0.0,0.0,434.96695181116075,533.2816091954023,Queens,-3.5,5.153291594497779,1.3880887272930693,6.07756644187792
36081,2016,140.0,2.615625,0.0,0.0,667.9580501642528,868.56875,Queens,-2.5,4.948759890378168,1.2852647313999044,6.505721352877047
36081,2017,175.0,2.223463687150838,1338.0,0.0111731843575419,626.694608680423,765.7262569832402,Queens,-1.5,5.170483995038151,1.1704564606673447,6.442053756279787
36081,2018,216.0,3.5907794676806084,105033.0,0.2984790874524715,1699.4812126817515,2066.1425855513307,Queens,-0.5,5.37989735354046,1.5240498283216954,7.438666556271989
36081,2019,188.0,3.441983122362869,27429.0,0.1729957805907173,606.2257057058742,989.2278481012659,Queens,0.5,5.241747015059643,1.491100925906906,6.408900560010548
36081,2020,179.0,4.744845360824742,4014.0,0.030927835051546393,579.985199172048,923.6288659793814,Queens,1.5,5.19295685089021,1.7483029937625953,6.364725281780519
36081,2021,218.0,3.4534632034632033,0.0,0.0,529.6359960273193,692.5930735930735,Queens,2.5,5.389071729816501,1.493682041469486,6.274076279635009
36081,2022,305.0,1.7119565217391304,43485.0,0.1570048309178744,428.12553689124366,512.7512077294685,Queens,3.5,5.723585101952381,0.997670338142533,6.061749502907266
36081,2023,179.0,1.8544973544973544,2007.0,0.015873015873015872,511.9669177785588,600.2804232804233,Queens,4.5,5.19295685089021,1.048895769638547,6.240211355330251
36085,2014,4.0,1.25,0.0,0.0,983.1458333333334,987.25,Staten Island,-4.5,1.6094379124341003,0.8109302162163288,6.891774090678082
36085,2015,62.0,1.8064516129032258,0.0,0.0,893.0465370188373,1275.8387096774193,Staten Island,-3.5,4.143134726391533,1.0319209141694374,6.795757828649623
36085,2016,73.0,1.0537974683544304,0.0,0.0,644.3474690236849,784.9240506329114,Staten Island,-2.5,4.30406509320417,0.7196905031171779,6.469788883407364
36085,2017,58.0,1.2629310344827587,222.0,0.034482758620689655,855.997664032203,976.5,Staten Island,-1.5,4.07753744390572,0.8166608909253138,6.75343519284401
36085,2018,0.0,,0.0,0.0,,,Staten Island,-0.5,0.0,,
36085,2019,13.0,1.25,0.0,0.0,847.1487244897959,998.9285714285714,Staten Island,0.5,2.6390573296152584,0.8109302162163288,6.743056003067225
36085,2020,69.0,16.22289156626506,1332.0,0.14457831325301204,1806.1464858388138,5052.698795180723,Staten Island,1.5,4.248495242049359,2.8462394039657686,7.499504353072384
36085,2021,101.0,1.338095238095238,444.0,0.0380952380952381,760.7918638515481,966.6952380952381,Staten Island,2.5,4.624972813284271,0.8493365970770519,6.635673373824105
36085,2022,113.0,1.1710526315789473,444.0,0.03007518796992481,876.0322756750189,1156.218045112782,Staten Island,3.5,4.736198448394496,0.7752121336142496,6.776543794061035
36085,2023,72.0,1.1917808219178083,0.0,0.0,625.6446262248974,751.931506849315,Staten Island,4.5,4.290459441148391,0.7847143740854359,6.440379595619657
