county_fips,year,month,outage_occurrence,outage_duration_mean,severe_weather_count,severe_weather_share,outage_mean_customers_mean,outage_max_customers_mean
36005,2014,11,3,0.8333333333333334,0,0.0,456.1111111111111,568.3333333333334
36005,2014,12,3,1.4166666666666667,0,0.0,365.4285714285714,368.3333333333333
36005,2015,1,3,2.4166666666666665,0,0.0,240.09743589743587,249.66666666666666
36005,2015,2,8,1.59375,0,0.0,379.47081105169343,429.875
36005,2015,3,8,2.3125,0,0.0,348.98640046296293,431.25
36005,2015,4,2,2.875,0,0.0,652.1911764705883,751.5
36005,2015,5,8,1.625,0,0.0,1735.7222222222222,1738.5
36005,2015,6,7,1.7142857142857142,0,0.0,332.2125850340136,342.85714285714283
36005,2015,7,20,1.525,0,0.0,645.7139851814852,723.35
36005,2015,8,4,0.625,0,0.0,535.3125,535.5
36005,2015,9,2,1.125,0,0.0,700.4166666666667,900.0
36005,2015,10,4,1.25,0,0.0,395.71875,475.0
36005,2015,12,3,1.25,0,0.0,599.3174603174604,607.3333333333334
36005,2016,1,7,2.8214285714285716,0,0.0,458.5477293620151,518.8571428571429
36005,2016,2,8,2.6875,0,0.0,547.897686990429,690.375
36005,2016,3,5,1.35,0,0.0,673.4851648351648,751.8
36005,2016,4,2,1.875,0,0.0,694.7222222222222,731.5
36005,2016,5,2,2.5,0,0.0,453.20000000000005,506.0
36005,2016,6,9,2.7777777777777777,0,0.0,545.5602146391619,743.5555555555555
36005,2016,7,16,2.21875,0,0.0,756.9607582521645,998.8125
36005,2016,8,12,2.1041666666666665,0,0.0,738.7600111389585,871.75
36005,2016,9,8,1.6875,0,0.0,428.5575980392157,464.125
36005,2016,10,5,1.35,0,0.0,850.46,920.2
36005,2016,11,2,1.125,0,0.0,560.5625,634.5
36005,2017,1,5,1.2,0,0.0,472.9333333333333,694.6
36005,2017,2,3,4.666666666666667,0,0.0,1088.1301416623999,1306.6666666666667
36005,2017,3,8,1.84375,0,0.0,477.82190860215053,489.75
36005,2017,4,5,2.1,0,0.0,415.43950216450213,628.4
36005,2017,5,7,1.8571428571428572,0,0.0,414.21733821733824,429.42857142857144
36005,2017,6,10,1.95,0,0.0,962.2983333333334,1195.3
36005,2017,7,5,2.1,0,0.0,400.17928571428575,434.0
36005,2017,8,4,2.5,0,0.0,488.0785714285714,717.0
36005,2017,9,3,2.5,0,0.0,367.5555555555555,375.0
36005,2017,10,4,2.125,0,0.0,593.2700320512821,638.75
36005,2017,11,3,1.6666666666666667,0,0.0,432.8055555555555,433.0
36005,2017,12,7,3.4642857142857144,0,0.0,609.4790616246498,700.8571428571429
36005,2018,1,18,1.2916666666666667,0,0.0,785.9708333333333,1210.1666666666667
36005,2018,2,3,1.8333333333333333,0,0.0,507.63888888888886,633.3333333333334
36005,2018,3,21,11.464285714285714,4,0.19047619047619047,2691.5267989128274,3664.9523809523807
36005,2018,4,10,1.4,1,0.1,805.1525062656641,841.8
36005,2018,5,7,2.5,2,0.2857142857142857,639.4275710284113,816.2857142857143
36005,2018,6,6,2.2083333333333335,0,0.0,689.5429487179487,826.0
36005,2018,7,9,4.0,0,0.0,496.8319664592128,678.3333333333334
36005,2018,8,12,4.0,0,0.0,390.425634748849,447.75
36005,2018,9,9,1.3333333333333333,0,0.0,573.7191798941799,584.2222222222222
36005,2018,10,2,2.5,0,0.0,865.4797979797979,972.0
36005,2018,11,2,0.375,0,0.0,1444.5,1444.5
36005,2018,12,6,1.375,0,0.0,440.0833333333333,446.0
36005,2019,1,3,1.9166666666666667,0,0.0,286.03205128205127,310.6666666666667
36005,2019,2,10,1.95,0,0.0,551.8757469654529,638.9
36005,2019,3,6,2.5833333333333335,0,0.0,642.8548079135036,744.0
36005,2019,4,9,1.3055555555555556,0,0.0,435.0747474747475,435.3333333333333
36005,2019,5,2,4.25,0,0.0,573.3298611111111,574.0
36005,2019,6,5,1.15,0,0.0,611.8888888888889,637.0
36005,2019,7,14,3.5535714285714284,2,0.14285714285714285,862.0810418904402,1413.9285714285713
36005,2019,8,5,3.65,0,0.0,335.1522344322344,369.0
36005,2019,9,6,1.0833333333333333,0,0.0,424.72222222222223,427.0
36005,2019,10,5,2.1,1,0.2,958.2047619047619,1186.8
36005,2019,11,4,1.0,1,0.25,272.75,273.25
36005,2019,12,9,1.3888888888888888,0,0.0,612.4148148148148,698.0
36005,2020,1,3,1.25,0,0.0,620.4682539682541,655.3333333333334
36005,2020,2,6,2.25,1,0.16666666666666666,408.19463869463874,455.5
36005,2020,3,1,0.75,0,0.0,760.6666666666666,761.0
36005,2020,4,5,4.05,0,0.0,544.503431372549,605.4
36005,2020,5,1,0.5,0,0.0,307.5,308.0
36005,2020,6,10,1.775,0,0.0,415.8570238095238,417.5
36005,2020,7,18,4.347222222222222,0,0.0,807.6431233074635,988.0
36005,2020,8,19,22.473684210526315,1,0.05263157894736842,1860.8910366562927,3442.157894736842
36005,2020,9,9,2.9444444444444446,0,0.0,778.3576176909511,966.6666666666666
36005,2020,10,7,2.5714285714285716,1,0.14285714285714285,521.7523643023643,540.7142857142857
36005,2020,11,7,3.2857142857142856,0,0.0,617.000481000481,775.5714285714286
36005,2020,12,19,5.5131578947368425,0,0.0,531.2454442600803,597.0
36005,2021,1,4,5.0,0,0.0,404.8390022675737,460.75
36005,2021,2,25,4.61,0,0.0,281.76008280153974,304.8
36005,2021,3,7,1.6785714285714286,0,0.0,514.7030921459493,551.8571428571429
36005,2021,4,2,2.125,0,0.0,255.5625,256.0
36005,2021,5,10,1.1,0,0.0,404.935,421.6
36005,2021,6,12,4.375,0,0.0,345.7959578048263,486.3333333333333
36005,2021,7,12,4.25,0,0.0,741.675304467413,852.6666666666666
36005,2021,8,10,4.075,0,0.0,606.8801851090086,741.0
36005,2021,9,3,16.166666666666668,0,0.0,905.013986013986,1533.0
36005,2021,10,9,1.7222222222222223,0,0.0,365.0248917748918,374.0
36005,2021,11,9,2.361111111111111,0,0.0,515.6147073524266,580.3333333333334
36005,2021,12,3,5.5,0,0.0,361.7870651806822,407.3333333333333
36005,2022,1,24,2.0625,0,0.0,476.61530606102974,499.4583333333333
36005,2022,2,19,2.013157894736842,1,0.05263157894736842,379.74152510906896,396.5263157894737
36005,2022,3,8,2.40625,0,0.0,396.2304529352227,406.125
36005,2022,4,8,1.75,2,0.25,413.88124999999997,432.375
36005,2022,5,12,1.875,0,0.0,641.505518419489,693.3333333333334
36005,2022,6,11,3.0,0,0.0,460.14180884474996,471.1818181818182
36005,2022,7,24,2.4791666666666665,0,0.0,497.28121672510866,600.75
36005,2022,8,15,4.816666666666666,0,0.0,856.1439168445195,1071.5333333333333
36005,2022,9,13,2.1346153846153846,0,0.0,546.8750457875458,672.6153846153846
36005,2022,10,6,0.625,0,0.0,431.26666666666665,441.5
36005,2022,11,7,2.4285714285714284,0,0.0,551.3751336898396,650.5714285714286
36005,2022,12,8,1.1875,1,0.125,475.36875,476.625
36005,2023,1,7,1.3214285714285714,0,0.0,1778.9797979797981,1783.7142857142858
36005,2023,2,3,1.3333333333333333,0,0.0,364.7,409.0
36005,2023,3,5,2.75,1,0.2,439.36756756756756,679.0
36005,2023,4,8,1.6875,0,0.0,465.4983918128655,485.75
36005,2023,5,4,1.875,0,0.0,571.9791666666666,588.25
36005,2023,6,8,1.53125,0,0.0,731.7598214285714,741.375
36005,2023,7,14,2.5535714285714284,0,0.0,676.137779370388,735.0
36005,2023,8,13,1.9423076923076923,0,0.0,408.8037451054692,451.0769230769231
36005,2023,9,18,1.4444444444444444,0,0.0,584.8806483802098,605.8888888888889
36005,2023,10,10,1.725,0,0.0,752.0291666666666,771.2
36005,2023,11,2,2.25,0,0.0,595.0357142857142,819.0
36005,2023,12,9,3.361111111111111,0,0.0,503.6976933073424,726.3333333333334
36047,2014,11,6,1.0,0,0.0,650.8902777777778,656.3333333333334
36047,2014,12,1,1.5,0,0.0,348.3333333333333,454.0
36047,2015,1,19,8.763157894736842,0,0.0,535.4866161368228,945.3157894736842
36047,2015,2,25,9.12,0,0.0,402.24793148388073,667.84
36047,2015,3,18,13.666666666666666,0,0.0,411.6990142478797,571.7777777777778
36047,2015,4,5,2.0,0,0.0,1100.4633333333334,1281.2
36047,2015,5,1,0.25,0,0.0,779.0,779.0
36047,2015,6,34,2.125,0,0.0,585.8072211779448,723.1470588235294
36047,2015,7,17,4.338235294117647,0,0.0,540.2705500381971,682.0588235294117
36047,2015,8,6,0.7083333333333334,0,0.0,431.25,432.3333333333333
36047,2015,9,10,2.525,0,0.0,527.1484415584416,676.8
36047,2015,10,2,1.125,0,0.0,678.4166666666666,749.0
36047,2015,11,2,1.0,0,0.0,1391.9166666666667,1417.5
36047,2015,12,3,1.25,0,0.0,527.9523809523808,1711.3333333333333
36047,2016,1,13,7.846153846153846,0,0.0,1232.857595013682,1590.0
36047,2016,2,7,6.75,0,0.0,547.8573102394295,816.1428571428571
36047,2016,3,7,0.7857142857142857,0,0.0,337.2333333333333,345.85714285714283
36047,2016,4,5,1.8,0,0.0,1076.2091228070176,1145.0
36047,2016,5,9,2.4444444444444446,0,0.0,1656.0279835390947,1721.5555555555557
36047,2016,6,10,1.125,0,0.0,694.6268939393939,751.3
36047,2016,7,12,3.875,0,0.0,579.8710437710438,753.25
36047,2016,8,8,2.34375,0,0.0,292.1110119047619,337.5
36047,2016,9,21,3.1666666666666665,0,0.0,766.0091465330094,839.952380952381
36047,2016,10,4,3.5625,0,0.0,682.4635416666666,768.25
36047,2016,11,2,2.0,0,0.0,298.5,300.5
36047,2016,12,8,4.53125,0,0.0,642.3677617521367,727.875
36047,2017,1,15,7.133333333333334,0,0.0,356.62102238168904,482.4
36047,2017,2,5,24.85,0,0.0,395.88510338357025,653.4
36047,2017,3,18,5.777777777777778,0,0.0,271.5574550395477,302.8888888888889
36047,2017,4,7,2.0714285714285716,0,0.0,324.3858818889875,362.0
36047,2017,5,6,3.0833333333333335,0,0.0,230.7545948203843,239.5
36047,2017,6,9,4.888888888888889,0,0.0,499.2872869097134,729.8888888888889
36047,2017,7,5,1.5,0,0.0,413.70476190476194,429.4
36047,2017,8,5,1.3,0,0.0,341.58909090909094,348.8
36047,2017,9,1,1.5,0,0.0,324.0,324.0
36047,2017,10,7,2.4642857142857144,0,0.0,393.9179138321996,402.42857142857144
36047,2017,11,2,1.0,0,0.0,1718.1666666666667,2061.0
36047,2017,12,12,6.541666666666667,0,0.0,395.0529227459783,541.75
36047,2018,1,26,3.3846153846153846,0,0.0,336.57876403596833,367.0769230769231
36047,2018,2,5,3.8,0,0.0,417.81693693693694,449.0
36047,2018,3,16,7.828125,4,0.25,518.9116264945069,624.6875
36047,2018,4,4,2.3125,0,0.0,311.23035714285714,422.75
36047,2018,5,6,0.8333333333333334,2,0.3333333333333333,824.6666666666666,904.1666666666666
36047,2018,6,15,2.2333333333333334,0,0.0,704.9458719058719,810.8
36047,2018,7,10,2.375,1,0.1,889.1585714285715,1047.0
36047,2018,8,15,6.216666666666667,0,0.0,424.0547573069632,507.26666666666665
