state,county,tract_fips,county_fips,cvi_overall,cvi_baseline_all,cvi_baseline_health,cvi_baseline_social_econ,cvi_baseline_infra,cvi_baseline_env,cvi_climate_all,cvi_climate_health,cvi_climate_social_econ,cvi_climate_extreme_events,outage_rows_2014,outage_rows_2015,outage_rows_2016,outage_rows_2017,outage_rows_2018,outage_rows_2019,outage_rows_2020,outage_rows_2021,outage_rows_2022,outage_rows_2023,outage_unique_events_2014,outage_unique_events_2015,outage_unique_events_2016,outage_unique_events_2017,outage_unique_events_2018,outage_unique_events_2019,outage_unique_events_2020,outage_unique_events_2021,outage_unique_events_2022,outage_unique_events_2023,outage_rows_2014_2023,outage_unique_events_2014_2023
NY,Bronx,36005000100,36005,0.535334221736532,0.550425656170375,0.642327005174571,0.57248160128821,0.369537568181631,0.617356450037088,0.515212309158074,0.416613555924914,0.52683131746126,0.60219205408805,6,71,107,64,194,89,118,109,165,111,6,69,76,64,105,78,105,106,155,101,1034,865
NY,Bronx,36005000200,36005,0.557261532260021,0.618646745885812,0.536897300970209,0.807659830710674,0.583025674382561,0.547004177479807,0.475414580758966,0.428630278123774,0.440171086250501,0.557442377902622,6,71,107,64,194,89,118,109,165,111,6,69,76,64,105,78,105,106,155,101,1034,865
NY,Bronx,36005000400,36005,0.52652038760256,0.540622039455758,0.469100045542158,0.612295270155053,0.548588683104689,0.532504159021131,0.507718185131631,0.430386928436865,0.507025477235951,0.585742149722076,6,71,107,64,194,89,118,109,165,111,6,69,76,64,105,78,105,106,155,101,1034,865
NY,Bronx,36005001600,36005,0.577907168618638,0.67084944310581,0.632346742478513,0.82661378431612,0.607396225457294,0.617041020171313,0.453984135969075,0.437603542637,0.422237784989496,0.50211108028073,6,71,107,64,194,89,118,109,165,111,6,69,76,64,105,78,105,106,155,101,1034,865
NY,Bronx,36005001900,36005,0.594052606890635,0.649980681311938,0.57824030194782,0.805831296327209,0.457360368883874,0.758490758088849,0.519481840995564,0.476253250856983,0.491076183065701,0.591116089064007,6,71,107,64,194,89,118,109,165,111,6,69,76,64,105,78,105,106,155,101,1034,865
NY,Bronx,36005002000,36005,0.589558577599627,0.701315873333276,0.676514856816644,0.819566826854335,0.679236473695408,0.629945335966717,0.440548849954762,0.482706484083593,0.435598084654816,0.403341981125876,6,71,107,64,194,89,118,109,165,111,6,69,76,64,105,78,105,106,155,101,1034,865
NY,Bronx,36005002300,36005,0.608171084078117,0.738421480069365,0.770749163821341,0.861735761163473,0.592845082725177,0.728355912567469,0.434503889423119,0.515259230887002,0.407378836175254,0.380873601207101,6,71,107,64,194,89,118,109,165,111,6,69,76,64,105,78,105,106,155,101,1034,865
NY,Bronx,36005002400,36005,0.463218853590789,0.465190303839686,0.651612600206472,0.410097811860173,0.332950865912657,0.466099937379444,0.460590253258927,0.40110942321869,0.393196407193502,0.587464929364589,6,71,107,64,194,89,118,109,165,111,6,69,76,64,105,78,105,106,155,101,1034,865
NY,Bronx,36005002500,36005,0.590926096498887,0.703675020947702,0.728446032852258,0.830896958358687,0.550650064356573,0.704707028223289,0.440594197233802,0.53069286347497,0.410827301994909,0.380262426231527,6,71,107,64,194,89,118,109,165,111,6,69,76,64,105,78,105,106,155,101,1034,865
NY,Bronx,36005002701,36005,0.588190375612877,0.719838711611144,0.760087778869074,0.816837653669776,0.613914410696523,0.688515003209203,0.41265926094852,0.460963576011495,0.396751780602539,0.380262426231527,6,71,107,64,194,89,118,109,165,111,6,69,76,64,105,78,105,106,155,101,1034,865
