event_id,state_event,Datetime Event Began,Datetime Restoration,Event Type,fips,state,county,start_time,duration,end_time,min_customers,max_customers,mean_customers,source_file,source_year,county_fips
New York-0,New York,2018-03-02 08:42:00,2018-03-02 08:42:00,Severe Weather,36081,New York,Queens,2018-03-03 13:45:00,5.5,2018-03-03 19:15:00,5407.0,7132.0,6182.772727272727,eaglei_outages_with_events_2018.csv,2018,36081
New York-0,New York,2018-03-02 08:42:00,2018-03-02 08:42:00,Severe Weather,36081,New York,Queens,2018-03-03 19:30:00,2.75,2018-03-03 22:15:00,5411.0,6333.0,5714.727272727273,eaglei_outages_with_events_2018.csv,2018,36081
New York-0,New York,2018-03-02 08:42:00,2018-03-02 08:42:00,Severe Weather,36081,New York,Queens,2018-03-03 22:30:00,18.25,2018-03-04 16:45:00,1389.0,4790.0,2818.4520547945203,eaglei_outages_with_events_2018.csv,2018,36081
New York-0,New York,2018-03-02 08:42:00,2018-03-02 08:42:00,Severe Weather,36081,New York,Queens,2018-03-04 17:00:00,3.75,2018-03-04 20:45:00,1211.0,2222.0,1670.2,eaglei_outages_with_events_2018.csv,2018,36081
New York-0,New York,2018-03-02 08:42:00,2018-03-02 08:42:00,Severe Weather,36081,New York,Queens,2018-03-04 21:00:00,3.5,2018-03-05 00:30:00,955.0,1153.0,1014.2857142857144,eaglei_outages_with_events_2018.csv,2018,36081
New York-1,New York,2018-03-02 11:34:00,2018-03-02 11:34:00,Severe Weather,36005,New York,Bronx,2018-03-02 16:15:00,7.0,2018-03-02 23:15:00,1331.0,6789.0,3790.035714285714,eaglei_outages_with_events_2018.csv,2018,36005
New York-1,New York,2018-03-02 11:34:00,2018-03-02 11:34:00,Severe Weather,36005,New York,Bronx,2018-03-02 23:45:00,0.25,2018-03-03 00:00:00,6533.0,6533.0,6533.0,eaglei_outages_with_events_2018.csv,2018,36005
New York-1,New York,2018-03-02 11:34:00,2018-03-02 11:34:00,Severe Weather,36005,New York,Bronx,2018-03-03 00:15:00,4.25,2018-03-03 04:30:00,4228.0,6642.0,6024.705882352941,eaglei_outages_with_events_2018.csv,2018,36005
New York-1,New York,2018-03-02 11:34:00,2018-03-02 11:34:00,Severe Weather,36005,New York,Bronx,2018-03-03 06:00:00,7.5,2018-03-03 13:30:00,4252.0,4722.0,4328.1,eaglei_outages_with_events_2018.csv,2018,36005
New York-1,New York,2018-03-02 11:34:00,2018-03-02 11:34:00,Severe Weather,36005,New York,Bronx,2018-03-03 13:45:00,5.5,2018-03-03 19:15:00,3900.0,5199.0,4152.681818181818,eaglei_outages_with_events_2018.csv,2018,36005
New York-1,New York,2018-03-02 11:34:00,2018-03-02 11:34:00,Severe Weather,36005,New York,Bronx,2018-03-03 19:30:00,2.75,2018-03-03 22:15:00,3605.0,3755.0,3658.181818181818,eaglei_outages_with_events_2018.csv,2018,36005
