month,n_years,occ_tau,occ_p,occ_slope_per_year,dur_tau,dur_p,dur_log_slope_per_year,occ_q,dur_q,occ_sig_05,occ_sig_01,dur_sig_05,dur_sig_01,month_name
1,9,-0.3888888888888889,0.18018077601410934,-1791.6875,-0.7777777777777778,0.0024250440917107582,-0.14065422122018564,0.5200456950456951,0.0291005291005291,False,False,True,False,Jan
2,9,0.16666666666666666,0.612202380952381,1014.3333333333333,-0.2222222222222222,0.47670855379188715,-0.0522951186543567,0.612202380952381,0.6356114050558496,False,False,False,False,Feb
3,9,-0.2222222222222222,0.47670855379188715,-970.8571428571429,-0.3888888888888889,0.18018077601410934,-0.12800825122281556,0.5200456950456951,0.5377314814814815,False,False,False,False,Mar
4,9,0.2222222222222222,0.47670855379188715,918.1428571428571,-0.2777777777777778,0.35848765432098767,-0.0341959367440724,0.5200456950456951,0.5377314814814815,False,False,False,False,Apr
5,9,0.2222222222222222,0.47670855379188715,945.6458333333334,-0.5,0.07517636684303351,-0.048581330383598714,0.5200456950456951,0.4510582010582011,False,False,False,False,May
6,9,-0.2777777777777778,0.35848765432098767,-2320.8333333333335,0.0,1.0,-0.002992332030867716,0.5200456950456951,1.0,False,False,False,False,Jun
7,9,0.2777777777777778,0.35848765432098767,2521.214285714286,-0.2777777777777778,0.35848765432098767,-0.03167731063989748,0.5200456950456951,0.5377314814814815,False,False,False,False,Jul
8,9,0.2222222222222222,0.47670855379188715,1418.9166666666667,0.2777777777777778,0.35848765432098767,0.040895137137528945,0.5200456950456951,0.5377314814814815,False,False,False,False,Aug
9,9,0.2222222222222222,0.47670855379188715,1468.1875,0.16666666666666666,0.612202380952381,0.05534224266343801,0.5200456950456951,0.6678571428571429,False,False,False,False,Sep
10,9,0.5,0.07517636684303351,870.5666666666666,-0.16666666666666666,0.612202380952381,-0.016368885466245812,0.4510582010582011,0.6678571428571429,False,False,False,False,Oct
11,10,0.3333333333333333,0.21637345679012346,878.75,0.37777777777777777,0.1557418430335097,0.024564952059365115,0.5200456950456951,0.5377314814814815,False,False,False,False,Nov
12,10,0.5555555555555555,0.02860945767195767,2083.0,0.28888888888888886,0.2912483465608466,0.021450229111490485,0.3433134920634921,0.5377314814814815,False,False,False,False,Dec
