tract_fips,beta,p
36005000100,1.6735713483776808,0.0004053070535037047
36005000200,1.6735713483776808,0.0004053070535037047
36005000400,1.6735713483776808,0.0004053070535037047
36005001600,1.6735713483776808,0.0004053070535037047
36005001900,1.6735713483776808,0.0004053070535037047
36005002000,1.6735713483776808,0.0004053070535037047
36005002300,1.6735713483776808,0.0004053070535037047
36005002400,1.6735713483776808,0.0004053070535037047
36005002500,1.6735713483776808,0.0004053070535037047
36005002701,1.6735713483776808,0.0004053070535037047
36005002702,1.6735713483776808,0.0004053070535037047
36005002800,1.6735713483776808,0.0004053070535037047
36005003100,1.6735713483776808,0.0004053070535037047
36005003300,1.6735713483776808,0.0004053070535037047
36005003500,1.6735713483776808,0.0004053070535037047
36005003700,1.6735713483776808,0.0004053070535037047
36005003800,1.6735713483776808,0.0004053070535037047
36005003900,1.6735713483776808,0.0004053070535037047
36005004001,1.6735713483776808,0.0004053070535037047
36005004100,1.6735713483776808,0.0004053070535037047
36005004200,1.6735713483776808,0.0004053070535037047
36005004300,1.6735713483776808,0.0004053070535037047
36005004400,1.6735713483776808,0.0004053070535037047
36005004600,1.6735713483776808,0.0004053070535037047
36005004800,1.6735713483776808,0.0004053070535037047
36005005001,1.6735713483776808,0.0004053070535037047
36005005002,1.6735713483776808,0.0004053070535037047
36005005100,1.6735713483776808,0.0004053070535037047
36005005200,1.6735713483776808,0.0004053070535037047
36005005300,1.6735713483776808,0.0004053070535037047
36005005400,1.6735713483776808,0.0004053070535037047
36005005600,1.6735713483776808,0.0004053070535037047
36005005902,1.6735713483776808,0.0004053070535037047
36005006000,1.6735713483776808,0.0004053070535037047
36005006100,1.6735713483776808,0.0004053070535037047
36005006200,1.6735713483776808,0.0004053070535037047
36005006300,1.6735713483776808,0.0004053070535037047
36005006400,1.6735713483776808,0.0004053070535037047
36005006500,1.6735713483776808,0.0004053070535037047
36005006700,1.6735713483776808,0.0004053070535037047
36005006800,1.6735713483776808,0.0004053070535037047
36005006900,1.6735713483776808,0.0004053070535037047
36005007000,1.6735713483776808,0.0004053070535037047
36005007100,1.6735713483776808,0.0004053070535037047
36005007200,1.6735713483776808,0.0004053070535037047
36005007300,1.6735713483776808,0.0004053070535037047
36005007400,1.6735713483776808,0.0004053070535037047
36005007500,1.6735713483776808,0.0004053070535037047
36005007600,1.6735713483776808,0.0004053070535037047
36005007700,1.6735713483776808,0.0004053070535037047
36005007800,1.6735713483776808,0.0004053070535037047
36005007900,1.6735713483776808,0.0004053070535037047
36005008300,1.6735713483776808,0.0004053070535037047
36005008400,1.6735713483776808,0.0004053070535037047
36005008500,1.6735713483776808,0.0004053070535037047
36005008600,1.6735713483776808,0.0004053070535037047
36005008700,1.6735713483776808,0.0004053070535037047
36005008900,1.6735713483776808,0.0004053070535037047
36005009000,1.6735713483776808,0.0004053070535037047
36005009200,1.6735713483776808,0.0004053070535037047
36005009300,1.6735713483776808,0.0004053070535037047
36005009600,1.6735713483776808,0.0004053070535037047
36005009800,1.6735713483776808,0.0004053070535037047
36005011000,1.6735713483776808,0.0004053070535037047
36005011502,1.6735713483776808,0.0004053070535037047
36005011700,1.6735713483776808,0.0004053070535037047
36005011800,1.6735713483776808,0.0004053070535037047
36005011900,1.6735713483776808,0.0004053070535037047
36005012101,1.6735713483776808,0.0004053070535037047
36005012102,1.6735713483776808,0.0004053070535037047
36005012300,1.6735713483776808,0.0004053070535037047
36005012500,1.6735713483776808,0.0004053070535037047
36005012701,1.6735713483776808,0.0004053070535037047
36005012901,1.6735713483776808,0.0004053070535037047
36005013000,1.6735713483776808,0.0004053070535037047
36005013100,1.6735713483776808,0.0004053070535037047
36005013200,1.6735713483776808,0.0004053070535037047
36005013300,1.6735713483776808,0.0004053070535037047
36005013500,1.6735713483776808,0.0004053070535037047
36005013800,1.6735713483776808,0.0004053070535037047
36005014100,1.6735713483776808,0.0004053070535037047
36005014300,1.6735713483776808,0.0004053070535037047
36005014400,1.6735713483776808,0.0004053070535037047
36005014500,1.6735713483776808,0.0004053070535037047
36005014701,1.6735713483776808,0.0004053070535037047
36005014702,1.6735713483776808,0.0004053070535037047
36005014900,1.6735713483776808,0.0004053070535037047
36005015100,1.6735713483776808,0.0004053070535037047
36005015200,1.6735713483776808,0.0004053070535037047
36005015300,1.6735713483776808,0.0004053070535037047
36005015500,1.6735713483776808,0.0004053070535037047
36005015700,1.6735713483776808,0.0004053070535037047
36005015800,1.6735713483776808,0.0004053070535037047
36005015900,1.6735713483776808,0.0004053070535037047
36005016000,1.6735713483776808,0.0004053070535037047
36005016100,1.6735713483776808,0.0004053070535037047
36005016200,1.6735713483776808,0.0004053070535037047
36005016300,1.6735713483776808,0.0004053070535037047
36005016400,1.6735713483776808,0.0004053070535037047
36005016500,1.6735713483776808,0.0004053070535037047
36005016600,1.6735713483776808,0.0004053070535037047
36005016700,1.6735713483776808,0.0004053070535037047
36005016900,1.6735713483776808,0.0004053070535037047
36005017100,1.6735713483776808,0.0004053070535037047
36005017300,1.6735713483776808,0.0004053070535037047
36005017500,1.6735713483776808,0.0004053070535037047
36005017701,1.6735713483776808,0.0004053070535037047
36005017702,1.6735713483776808,0.0004053070535037047
36005017901,1.6735713483776808,0.0004053070535037047
36005017902,1.6735713483776808,0.0004053070535037047
36005018101,1.6735713483776808,0.0004053070535037047
36005018102,1.6735713483776808,0.0004053070535037047
36005018301,1.6735713483776808,0.0004053070535037047
36005018302,1.6735713483776808,0.0004053070535037047
36005018400,1.6735713483776808,0.0004053070535037047
36005018500,1.6735713483776808,0.0004053070535037047
36005018900,1.6735713483776808,0.0004053070535037047
36005019300,1.6735713483776808,0.0004053070535037047
