year,month,obs_count,exp_count_days_adjusted,std_resid,resid_p,resid_q,high_month_sig_05,high_month_sig_01
2014,1,0,1458.358904109589,-38.18846558988184,0.0,0.0,False,False
2014,2,0,1317.227397260274,-36.29362750208739,2.0393209599387897e-288,2.0393209599387897e-288,False,False
2014,3,0,1458.358904109589,-38.18846558988184,0.0,0.0,False,False
2014,4,0,1411.3150684931506,-37.56747354418647,7.305461484651883e-309,7.96959434689296e-309,False,False
2014,5,0,1458.358904109589,-38.18846558988184,0.0,0.0,False,False
2014,6,0,1411.3150684931506,-37.56747354418647,7.305461484651883e-309,7.96959434689296e-309,False,False
2014,7,0,1458.358904109589,-38.18846558988184,0.0,0.0,False,False
2014,8,0,1458.358904109589,-38.18846558988184,0.0,0.0,False,False
2014,9,0,1411.3150684931506,-37.56747354418647,7.305461484651883e-309,7.96959434689296e-309,False,False
2014,10,0,1458.358904109589,-38.18846558988184,0.0,0.0,False,False
2014,11,11715,1411.3150684931506,274.27143641660547,0.0,0.0,True,True
2014,12,5456,1458.358904109589,104.68189894881766,0.0,0.0,True,True
2015,1,29105,23839.424657534248,34.103420996029435,6.563276010271663e-255,6.563276010271663e-255,True,True
2015,2,44918,21532.383561643837,159.368604054879,0.0,0.0,True,True
2015,3,35622,23839.424657534248,76.31191297955657,0.0,0.0,True,True
2015,4,10723,23070.410958904107,-81.29208032543058,0.0,0.0,False,False
2015,5,14351,23839.424657534248,-61.453444237200465,0.0,0.0,False,False
2015,6,48404,23070.410958904107,166.78963404673127,0.0,0.0,True,True
2015,7,33717,23839.424657534248,63.973846809751564,0.0,0.0,True,True
2015,8,17310,23839.424657534248,-42.28896245428551,0.0,0.0,False,False
2015,9,17864,23070.410958904107,-34.27762947933818,1.6909558374929373e-257,1.8446790954468406e-257,False,False
2015,10,11638,23839.424657534248,-79.02466393204612,0.0,0.0,False,False
2015,11,9436,23070.410958904107,-89.76534712824824,0.0,0.0,False,False
2015,12,7602,23839.424657534248,-105.16452485663036,0.0,0.0,False,False
2016,1,26768,25094.5,10.564195831067975,4.366953976269245e-26,4.763949792293722e-26,True,True
2016,2,21788,23475.5,-11.013778955140559,3.2795304822876635e-28,3.935436578745196e-28,False,False
2016,3,15047,25094.5,-63.42620711840781,0.0,0.0,False,False
2016,4,10186,24284.999999999996,-90.47305526309518,0.0,0.0,False,False
2016,5,16017,25094.5,-57.30295049687454,0.0,0.0,False,False
2016,6,38168,24284.999999999996,89.08698675207823,0.0,0.0,True,True
