year,month,obs_count,std_resid,resid_q
2014,11,11715,274.27143641660547,0.0
2015,6,48404,166.78963404673127,0.0
2016,9,77368,340.632753566273,0.0
2017,3,36381,123.15638832853837,0.0
2018,3,241848,777.8564019545004,0.0
2019,7,74972,303.2516554662707,0.0
2020,7,62749,259.4477138573153,0.0
2021,2,56325,203.2893245411476,0.0
2022,4,123690,343.3228240877087,0.0
2023,7,37758,134.7779372596794,0.0
