tract_fips,n_years,occ_spearman_rho,occ_spearman_p,dur_spearman_rho,dur_spearman_p,occ_spearman_q,dur_spearman_q,occ_sig_05,occ_sig_01,dur_sig_05,dur_sig_01
36005000100,10,0.7587172123012766,0.01095147802202646,0.5107414652298363,0.13141292504370802,0.02355436939658072,0.45439110286245454,True,False,False,False
36005000200,10,0.7587172123012766,0.01095147802202646,0.5107414652298363,0.13141292504370802,0.02355436939658072,0.45439110286245454,True,False,False,False
36005000400,10,0.7587172123012766,0.01095147802202646,0.5107414652298363,0.13141292504370802,0.02355436939658072,0.45439110286245454,True,False,False,False
36005001600,10,0.7587172123012766,0.01095147802202646,0.5107414652298363,0.13141292504370802,0.02355436939658072,0.45439110286245454,True,False,False,False
36005001900,10,0.7587172123012766,0.01095147802202646,0.5107414652298363,0.13141292504370802,0.02355436939658072,0.45439110286245454,True,False,False,False
36005002000,10,0.7587172123012766,0.01095147802202646,0.5107414652298363,0.13141292504370802,0.02355436939658072,0.45439110286245454,True,False,False,False
36005002300,10,0.7587172123012766,0.01095147802202646,0.5107414652298363,0.13141292504370802,0.02355436939658072,0.45439110286245454,True,False,False,False
36005002400,10,0.7587172123012766,0.01095147802202646,0.5107414652298363,0.13141292504370802,0.02355436939658072,0.45439110286245454,True,False,False,False
36005002500,10,0.7587172123012766,0.01095147802202646,0.5107414652298363,0.13141292504370802,0.02355436939658072,0.45439110286245454,True,False,False,False
36005002701,10,0.7587172123012766,0.01095147802202646,0.5107414652298363,0.13141292504370802,0.02355436939658072,0.45439110286245454,True,False,False,False
36005002702,10,0.7587172123012766,0.01095147802202646,0.5107414652298363,0.13141292504370802,0.02355436939658072,0.45439110286245454,True,False,False,False
36005002800,10,0.7587172123012766,0.01095147802202646,0.5107414652298363,0.13141292504370802,0.02355436939658072,0.45439110286245454,True,False,False,False
36005003100,10,0.7587172123012766,0.01095147802202646,0.5107414652298363,0.13141292504370802,0.02355436939658072,0.45439110286245454,True,False,False,False
36005003300,10,0.7587172123012766,0.01095147802202646,0.5107414652298363,0.13141292504370802,0.02355436939658072,0.45439110286245454,True,False,False,False
36005003500,10,0.7587172123012766,0.01095147802202646,0.5107414652298363,0.13141292504370802,0.02355436939658072,0.45439110286245454,True,False,False,False
36005003700,10,0.7587172123012766,0.01095147802202646,0.5107414652298363,0.13141292504370802,0.02355436939658072,0.45439110286245454,True,False,False,False
36005003800,10,0.7587172123012766,0.01095147802202646,0.5107414652298363,0.13141292504370802,0.02355436939658072,0.45439110286245454,True,False,False,False
36005003900,10,0.7587172123012766,0.01095147802202646,0.5107414652298363,0.13141292504370802,0.02355436939658072,0.45439110286245454,True,False,False,False
36005004001,10,0.7587172123012766,0.01095147802202646,0.5107414652298363,0.13141292504370802,0.02355436939658072,0.45439110286245454,True,False,False,False
36005004100,10,0.7587172123012766,0.01095147802202646,0.5107414652298363,0.13141292504370802,0.02355436939658072,0.45439110286245454,True,False,False,False
36005004200,10,0.7587172123012766,0.01095147802202646,0.5107414652298363,0.13141292504370802,0.02355436939658072,0.45439110286245454,True,False,False,False
36005004300,10,0.7587172123012766,0.01095147802202646,0.5107414652298363,0.13141292504370802,0.02355436939658072,0.45439110286245454,True,False,False,False
36005004400,10,0.7587172123012766,0.01095147802202646,0.5107414652298363,0.13141292504370802,0.02355436939658072,0.45439110286245454,True,False,False,False
